Training: 2021-04-24 22:03:54,921-rank_id: 0
Training: 2021-04-24 23:43:55,013-Speed 768.29 samples/sec   Loss 9.3203   Epoch: 0   Global Step: 8300   Required: 56 hours
Training: 2021-04-24 23:44:28,329-Speed 768.42 samples/sec   Loss 9.2527   Epoch: 0   Global Step: 8350   Required: 56 hours
Training: 2021-04-24 23:45:02,016-Speed 759.95 samples/sec   Loss 9.1521   Epoch: 0   Global Step: 8400   Required: 56 hours
Training: 2021-04-24 23:45:35,703-Speed 759.95 samples/sec   Loss 9.1678   Epoch: 0   Global Step: 8450   Required: 56 hours
Training: 2021-04-24 23:46:09,035-Speed 768.04 samples/sec   Loss 9.2359   Epoch: 0   Global Step: 8500   Required: 56 hours
Training: 2021-04-24 23:46:43,071-Speed 752.14 samples/sec   Loss 9.2058   Epoch: 0   Global Step: 8550   Required: 56 hours
Training: 2021-04-24 23:47:16,394-Speed 768.25 samples/sec   Loss 9.2464   Epoch: 0   Global Step: 8600   Required: 56 hours
Training: 2021-04-24 23:47:49,713-Speed 768.35 samples/sec   Loss 9.1507   Epoch: 0   Global Step: 8650   Required: 56 hours
Training: 2021-04-24 23:48:23,035-Speed 768.27 samples/sec   Loss 9.2031   Epoch: 0   Global Step: 8700   Required: 56 hours
Training: 2021-04-24 23:48:56,363-Speed 768.14 samples/sec   Loss 9.1732   Epoch: 0   Global Step: 8750   Required: 56 hours
Training: 2021-04-24 23:49:29,693-Speed 768.09 samples/sec   Loss 9.1846   Epoch: 0   Global Step: 8800   Required: 56 hours
Training: 2021-04-24 23:50:03,015-Speed 768.26 samples/sec   Loss 9.1110   Epoch: 0   Global Step: 8850   Required: 56 hours
Training: 2021-04-24 23:50:36,350-Speed 767.98 samples/sec   Loss 9.1899   Epoch: 0   Global Step: 8900   Required: 56 hours
Training: 2021-04-24 23:51:09,689-Speed 767.89 samples/sec   Loss 8.9841   Epoch: 0   Global Step: 8950   Required: 56 hours
Training: 2021-04-24 23:51:43,009-Speed 768.32 samples/sec   Loss 9.0884   Epoch: 0   Global Step: 9000   Required: 56 hours
Training: 2021-04-24 23:52:16,328-Speed 768.34 samples/sec   Loss 9.0607   Epoch: 0   Global Step: 9050   Required: 55 hours
Training: 2021-04-24 23:52:49,647-Speed 768.33 samples/sec   Loss 9.0119   Epoch: 0   Global Step: 9100   Required: 55 hours
Training: 2021-04-24 23:53:22,967-Speed 768.33 samples/sec   Loss 8.9836   Epoch: 0   Global Step: 9150   Required: 55 hours
Training: 2021-04-24 23:53:56,640-Speed 760.26 samples/sec   Loss 9.0090   Epoch: 0   Global Step: 9200   Required: 55 hours
Training: 2021-04-24 23:54:29,977-Speed 767.95 samples/sec   Loss 9.0480   Epoch: 0   Global Step: 9250   Required: 55 hours
Training: 2021-04-24 23:55:04,115-Speed 749.90 samples/sec   Loss 8.8684   Epoch: 0   Global Step: 9300   Required: 55 hours
Training: 2021-04-24 23:55:37,867-Speed 758.47 samples/sec   Loss 9.0355   Epoch: 0   Global Step: 9350   Required: 55 hours
Training: 2021-04-24 23:56:11,186-Speed 768.35 samples/sec   Loss 8.9447   Epoch: 0   Global Step: 9400   Required: 55 hours
Training: 2021-04-24 23:56:44,503-Speed 768.38 samples/sec   Loss 8.9782   Epoch: 0   Global Step: 9450   Required: 55 hours
Training: 2021-04-24 23:57:17,921-Speed 766.08 samples/sec   Loss 8.9213   Epoch: 0   Global Step: 9500   Required: 55 hours
Training: 2021-04-24 23:57:51,273-Speed 767.59 samples/sec   Loss 8.9764   Epoch: 0   Global Step: 9550   Required: 55 hours
Training: 2021-04-24 23:58:24,596-Speed 768.24 samples/sec   Loss 8.9842   Epoch: 0   Global Step: 9600   Required: 55 hours
Training: 2021-04-24 23:58:57,921-Speed 768.20 samples/sec   Loss 8.8813   Epoch: 0   Global Step: 9650   Required: 55 hours
